City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Maniitsoq,GL,2022-04-12 18:36:30,65.4167,-52.9,30.78,77,70,10.27
229,Amqui,CA,2022-04-12 18:33:55,48.4638,-67.4313,35.8,100,100,1.21
230,Hualmay,PE,2022-04-12 18:36:30,-11.0964,-77.6139,71.71,73,17,11.45
231,Hasaki,JP,2022-04-12 18:36:31,35.7333,140.8333,57.6,93,5,11.79
232,Jining,CN,2022-04-12 18:36:31,35.405,116.5814,50.04,32,100,7.58
233,Dali,CN,2022-04-12 18:36:32,25.7,100.1833,55.27,83,7,2.53
234,San Policarpo,PH,2022-04-12 18:36:32,12.1791,125.5072,78.15,88,100,10.63
235,Bathsheba,BB,2022-04-12 18:36:33,13.2167,-59.5167,84.81,61,20,20.71
236,Miandrivazo,MG,2022-04-12 18:36:33,-19.5167,45.4667,79.74,63,96,2.55
237,Srednekolymsk,RU,2022-04-12 18:36:34,67.45,153.6833,-16.65,100,74,1.34
238,Priego De Cordoba,ES,2022-04-12 18:35:08,37.4381,-4.1952,53.76,86,97,5.46
239,Harrisonville,US,2022-04-12 18:36:34,38.6533,-94.3488,80.38,54,100,19.57
240,Bontang,ID,2022-04-12 18:36:35,0.1333,117.5,76.87,90,100,6.42
241,Kieta,PG,2022-04-12 18:36:35,-6.2167,155.6333,78.58,83,100,2.04
242,Sao Filipe,CV,2022-04-12 18:36:35,14.8961,-24.4956,71.49,74,100,12.84
243,Palmer,US,2022-04-12 18:36:36,42.1584,-72.3287,67.14,57,75,4.0
244,Vanderhoof,CA,2022-04-12 18:33:32,54.0166,-124.0198,23.45,31,100,13.91
245,Neftcala,AZ,2022-04-12 18:36:37,39.3742,49.2472,59.68,40,63,24.32
246,Solnechnyy,RU,2022-04-12 18:36:37,50.7214,136.6319,23.58,96,100,4.56
247,Boueni,YT,2022-04-12 18:36:37,-12.9025,45.0761,82.38,69,54,1.97
248,Fort Saint James,CA,2022-04-12 18:36:38,54.4333,-124.25,20.05,36,100,16.24
249,College,US,2022-04-12 18:36:38,64.8569,-147.8028,38.46,43,20,10.36
250,Komsomolskiy,UZ,2022-04-12 18:36:39,40.4272,71.7189,68.72,45,8,4.61
251,Grindavik,IS,2022-04-12 18:36:39,63.8424,-22.4338,46.35,70,75,14.97
252,Leningradskiy,RU,2022-04-12 18:36:40,69.3833,178.4167,-7.06,93,98,7.02
253,Klaksvik,FO,2022-04-12 18:36:41,62.2266,-6.589,41.92,84,100,22.44
254,Faya,SA,2022-04-12 18:36:41,18.3851,42.4509,69.91,41,63,2.53
255,Sept-Iles,CA,2022-04-12 18:36:42,50.2001,-66.3821,35.06,90,100,4.61
256,Dunedin,NZ,2022-04-12 18:34:00,-45.8742,170.5036,52.81,70,7,5.99
257,Bima,ID,2022-04-12 18:36:42,-8.4667,118.7167,73.94,88,100,3.27
258,Isangel,VU,2022-04-12 18:36:43,-19.55,169.2667,77.56,84,11,3.42
259,Dikson,RU,2022-04-12 18:36:43,73.5069,80.5464,23.52,96,100,2.3
260,Amapa,BR,2022-04-12 18:36:44,1.0,-52.0,73.53,98,100,2.35
261,Bambous Virieux,MU,2022-04-12 18:36:44,-20.3428,57.7575,77.22,88,40,11.5
262,Sinnar,SD,2022-04-12 18:36:44,13.5691,33.5672,95.05,16,9,4.79
